"#Separate class not required.\
## all the constants in the game should be in UPPER_CASE.","CodeBrag",3
"Bad Coding practice Should not import all the methods and classes from a module [F403] Only import the ones that are needed","Bitbucket",2
"useless code parts should be removed! (code smell)","GamifiedSD",4
"At many places author has used unnecessary parenthesis after 'while' and 'print' keywords.\
\
It seems that the author is not clear about the basic syntax of python.","CodeBrag",2
"If __ name__ == ""__ main__"" not written in main.py. Needed in order to prevent it from running when imported.","Github",5
"**BUG**
Player fall off the level, not implemented proper movement restriction.","Phabricater",4
"Bad coding practice Mulitple classes declared in a single module Must be spread across multiple modules","Bitbucket",4
"Death for the player not implemented.","Phabricater",4
"Sometimes fireballs are generated just above the stairs, so we can't move up the stairs. so we can't win the game.","Phabricater",5
"This function could be places within a class and it is recommended that you do so.","Github",4
"Comment too long. Line must contain 79 characters or less.","CodeBrag",2
"constants must be capitalized as per PEP-8 standards.","GamifiedSD",3
"No new line at the end of the filemixed-indentation unused-variables","Github",3
"The Person class is acting like a god class. Some functions can be shifted to the Player class as only the player is using those functionalities. -> Code Smell","GamifiedSD",5
"PEP8 violation: Exactly one space required around assignmentPEP8 violation: Mixed indentation error.Both tabs and spaces found.","Github",2
"Wildcard imports may result in greater chances of name-collisions.","CodeBrag",3
"board width and height hardcoded,changing any of these will create problems.","Github",4
"Negetive: no use of encapsulation. the position variables should have been private.\
","GamifiedSD",4
"Unused import os (unused-import)","CodeBrag",3
"Clock speed should be a bit less.","GamifiedSD",4
"PEP-8 guideline:
All the lines in the board violate the 80 characters per line rule.
Should ideally be randomised.","Phabricater",2
"Not according to PEP-8 standards missing whitespace after ',' [E231] should be like - return [xccor, ycoor]","Bitbucket",2
"Better to display in strings rather than hardcording the bottom display","CodeBrag",3
"Fireball not covering entire space","GamifiedSD",4
"Cyclomatic complexity: Bad code smell.","Github",4
"Too many if,else conditions.Code smells bad.","Github",4
"Cyclomatic complexity: too many branches or loops; this may indicate a function needs to be broken up into smaller functions, or that it has potential for simplification.","CodeBrag",5
"Trailing whitespace. Not as per PEP-8.","Bitbucket",2
"Inline comments should be written this way
<code> #Comment  

there should a whitespace between <code> and #","Phabricater",2
"Dead part of code, should be removed. Keeping this here is pointless.","Github",4
"Bad Indentation and try to use trailing spaces after a comma","CodeBrag",3
"the class contains only constant variables ... a seperate class isnot required","CodeBrag",4
"Unnecessary comments","Phabricater",3
"Coins can also be partially taken in your game which is bad","GamifiedSD",4
"Too many lines in a single function.","CodeBrag",5
"get position function is too long!
ideally a function should be <15-20 line.

also too many nested if-else conditions.
divide the responsibility of this function, into various other functions.","Phabricater",5
"Comments not according to PEP-8 standards Block Comment should start with '# ' [E265]","Bitbucket",3
"Exactly one whitespace should be added after coma. Not followed here. ","Bitbucket",2
"Modules imported should be written on different lines.","GamifiedSD",4
"module docstring is not there.","CodeBrag",3
"Player does jump  -> Jump right R and jump left E. The commands are different but have been included in comments long with the code. ","Bitbucket",5
"Duplicated code .Could have been simplified","Bitbucket",4
"Exactly one space required around assignment (Bad whitespace)","CodeBrag",2
"Automatic restart of next game with out any asking","GamifiedSD",4
"redrawScreen(): Unused argument 'width' and 'height'","GamifiedSD",3
"Using function  is better that hardcoding ","Github",4
"Too many ifs and elifs.","Github",4
"Error:","Bitbucket",1
"because the climbing ladder to next floor are hard coded when pressed more buttons at the ladder the player lands in the floor and is not effected by fireballs etc","GamifiedSD",5
"Function checkCollision() not implemented.","Bitbucket",4
"BUG Use of super on an old styled class.","Bitbucket",4
"Some modules which are not used are also imported which is a veery bad practice.","GamifiedSD",2
"Wrong indentation","GamifiedSD",2
"Erratic indentation.","Phabricater",2
"didnot use this method","Phabricater",4
"non-descriptive constants should be avoided.","GamifiedSD",3
"This function should be inside class.
PEP-8:
Method documentation string absent.","Phabricater",2
"Indentation is not according to pep.","Bitbucket",2
"on pressing left arrow key the played moves in forward direction","Phabricater",4
"When player is on stairs, and space is pressed, game exits, giving index error.","GamifiedSD",4
"Player jump is not implemented","GamifiedSD",4
"Bug:
Wrong syntax : Used comma instead of full-stop(.). It is,
ClassName.method_name and not ClassName,method_name

It should have been,
f3.getPosition[0]","Phabricater",5
"Mentioned it in comments","CodeBrag",2
"polymorphism is not found","GamifiedSD",4
"Number of coins is hardcoded into the file should be random in a range ","Phabricater",4
"BUG: there is no condition for collision between fireball and wall","Bitbucket",5
"Negative: PEP 8 maximum statement length violated","GamifiedSD",2
"You can jump and take it.","CodeBrag",4
"there is no checking whether the player has reached the queen or not !!!","Phabricater",4
"Redefining name 'p' from outer scope (line 162)","GamifiedSD",4
"Bug:
Player is not killed  even after collision with fireballs","Phabricater",4
"According to PEP-8 Standards, there are a lot of indentation problems(white-spaces) which I have left un-mentioned.Pylint rating of the code is -19.31/10 on a scale of -infinity to 10. Code with rating between 5 to 10 is considered good code.","Bitbucket",3
